method,seed,trial,cost,safety_margin,safe,violation_steps,best_safe_cost,cumulative_unsafe_trials,predicted_safety_lcb,Kp1,Ki1,Kp2,Ki2
manual,1,1,0.3533327242378745,0.6357856494096276,True,0,0.3533327242378745,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,2,0.3522182599179735,0.5040871934604907,True,0,0.3522182599179735,0,,2.326254037348541,0.029999999999999995,2.0,0.029999999999999995
manual,1,3,0.3532166394972259,0.608537693006358,True,0,0.3522182599179735,0,,2.0,0.037289383635559184,2.0,0.029999999999999995
manual,1,4,0.35028798826727836,0.6811989100817439,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
manual,1,5,0.35124748566585556,0.6766575840145322,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.037289383635559184
manual,1,6,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,7,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,8,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,9,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,10,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,11,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,12,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,13,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,14,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,15,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,16,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,17,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,18,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,19,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,20,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,21,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,22,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,23,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,24,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,25,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,26,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,27,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,1,28,0.3533327242378745,0.6357856494096276,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
