method,seed,candidates_tested,candidates_accepted,selected_trial,qualification_cost,qualification_safe_rate,Kp1,Ki1,Kp2,Ki2
safe_bo,16,11,6,28,0.3406536431853123,1.0,0.7711226894561019,0.003764002054081678,12.653358813631026,0.016896524431373117
manual,17,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,17,11,6,6,0.3481205527952823,1.0,1.0265423739528599,0.00885480440448274,4.807819381346595,0.01685108173603252
bo,17,10,8,21,0.3329504673257775,1.0,1.3322170734301855,0.0034177497644082653,10.900816723247651,1.256412588081013
safe_bo,17,11,3,9,0.3364024880028863,1.0,3.6081893908137146,0.06232645946821887,3.8046338480914343,0.07165237300111812
manual,18,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,18,9,9,8,0.34393525105072065,1.0,1.7103281546177116,0.012833479878016685,2.8397141037164193,0.0648309797841924
bo,18,9,9,21,0.33947684026723796,1.0,0.5308515588148423,0.004109364101951855,17.79231968444353,1.197037402616046
safe_bo,18,11,9,16,0.34171572157792063,1.0,1.065171831393958,0.007011232720743807,5.811287982167369,0.07891376769595285
manual,19,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,19,11,6,8,0.3350069686614524,1.0,1.0187404216755622,0.0031919733456902224,10.082182280248908,1.1648196524817969
bo,19,10,7,6,0.3461341986277563,1.0,2.798129991023078,0.010540024828064124,2.9704340871905295,0.03626670016614298
safe_bo,19,11,1,1,0.35888571313696105,1.0,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,20,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,20,10,10,10,0.35226824752042124,1.0,0.6717024147032734,0.005531400705144977,2.9244664936965057,0.04614338373514076
bo,20,7,7,6,0.34674689893165783,1.0,6.951253529588205,0.6025029153807152,2.677926902385741,0.03475540894066303
safe_bo,20,11,9,24,0.34271185646158486,1.0,0.970799778015975,0.0038710930655959023,7.130421953345572,0.009567947454273697
