method,validation_cost_mean,validation_cost_std,validation_safe_rate,validation_margin_mean,online_unsafe_trials_mean,final_best_safe_cost_mean
manual,0.3527002664257774,0.004105574422290779,1.0,0.589977819776562,0.0,0.3566841037389198
random,0.3416724646759558,0.006218317580811048,0.9875,0.7997112331173252,14.85,0.337493869574891
bo,0.3379938728662601,0.007505280596208824,0.99,0.5922426132150683,19.05,0.33210943784410113
safe_bo,0.3412157042872657,0.00873870331269445,0.9875,0.6242750936582023,0.9,0.3367276475557438
